Name,Age,Job,Idea
Eric,39,Coiffeur,Suggérer des coupes selon la forme du visage
François,40,Avocate,Rechercher jurisprudences dans base légale
Bernard,39,Avocate,Rechercher jurisprudences dans base légale
Françoise,40,Vendeur,Prédire produits populaires saison prochaine
Julie,40,Plombier,Identifier les fuites avec caméra intelligente
Corinne,31,Professeur,Corriger automatiquement les devoirs de mathématiques
Philippe,42,Coiffeur,Suggérer des coupes selon la forme du visage
Catherine,38,Dentiste,Planifier traitements orthodontiques en 3D
Nicolas,29,Médecin,Analyser rapidement les radiographies
Monique,48,Professeur,Corriger automatiquement les devoirs de mathématiques
Patrick,53,Comptable,Catégoriser automatiquement les factures
Thierry,59,Cuisinier,Créer menus équilibrés selon les allergies
Sylvie,32,Boulanger,Optimiser les commandes de pain selon la météo
Brigitte,48,Psychologue,Analyser émotions dans textes patients
Véronique,41,Psychologue,Analyser émotions dans textes patients
Pierre,29,Plombier,Identifier les fuites avec caméra intelligente
Daniel,45,Pharmacienne,Vérifier interactions médicamenteuses automatiquement
Sandrine,56,Libraire,Recommander livres selon goûts lecteurs
Jean,48,Dentiste,Planifier traitements orthodontiques en 3D
Sophie,31,Boulanger,Optimiser les commandes de pain selon la météo
Claire,59,Médecin,Analyser rapidement les radiographies
Isabelle,30,Designer,Générer logos selon brief client
Alain,33,Professeur,Corriger automatiquement les devoirs de mathématiques
Christian,25,Mécanicien,Diagnostiquer les pannes par reconnaissance sonore
Paul,30,Photographe,Retoucher portraits automatiquement
Marie,51,Chauffeur,Optimiser trajets selon trafic temps réel
Martine,40,Cuisinier,Créer menus équilibrés selon les allergies
Laurent,50,Jardinier,Identifier maladies des plantes par photo
Nathalie,37,Psychologue,Analyser émotions dans textes patients
Michel,31,Pharmacienne,Vérifier interactions médicamenteuses automatiquement
